sp_id,sp_name,avg_savings,,,,
414605,AZGT,2629.2,,,,
440395,Bentley Jacksonville,2627.428571,,,,
336920,Perillo Downers Grove,2626.833333,,,,
318563,Swiss Motor Sales,2626.5,,,,
437590,EDITION MOTORS LLC,2624.6,,,,
439287,Freedom Auto Sales,2622,,,,
288613,Bill Cramer Chevrolet Buick GMC,2617.5,,,,
340140,Luther Burnsville Hyundai,2614,,,,
406401,Handsome Motors,2613.666667,,,,
284952,Car Lux,2612.666667,,,,
302565,Ryan O'Neal Autos,2609.371429,,,,
240270,Dean Motor Cars Incorporated,2608.25,,,,
436328,Goens Automotive,2603,,,,
436307,Top Gear Auto Traders,2600.714286,,,,
65849,Volvo of Dayton,2600.333333,,,,
439503,Best Luxury motors 2,2599.306818,,,,
67210,Mark Kia,2597,,,,
293380,Jack Daniels Porsche,2595,,,,
392916,B&N Auto Sales,2595,,,,
337727,Scotti's Auto Sales,2594.755102,,,,
275782,Astro Lincoln,2594,,,,
335109,Don's Automotive Group Broussard,2593,,,,
